sector,region,value
"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",SCO,1415.038821
"Utilities (Section D,E)",SCO,6286.341661
Construction (Section F),SCO,6779.214455
"Wholesale, Retail and Repairs (Section G)",SCO,13486.1551
Transportation and Storage (Section H),SCO,5952.836219
Accommodation and Food Services (Section I),SCO,3819.034139
Information and Communication (Section J),SCO,4499.005131
Financial and Insurance (Section K),SCO,10896.39493
Real Estate Activities (Section L),SCO,12596.00564
"Professional, Scientific & Technical (Section M)",SCO,7274.53567
Administrative and Support Services (Section N),SCO,4417.584805
Public administration and defence; compulsory social security (Section O),SCO,9521.4492
Education (Section P),SCO,8144.995224
Other Services (Section (Q-U),SCO,20106.34863
