input,sector,region,value
"Food Products, Beverages and Tobacco Products (Section CA)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",EU,11100.68913
"Food Products, Beverages and Tobacco Products (Section CA)",Basic Pharmaceuticals and Their Products (Section CF),EU,1673.447181
"Food Products, Beverages and Tobacco Products (Section CA)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",EU,13550.85231
"Food Products, Beverages and Tobacco Products (Section CA)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",EU,6616.09457
"Food Products, Beverages and Tobacco Products (Section CA)","Computer, Electronic and Optical Products (Section CI)",EU,1204.550559
"Food Products, Beverages and Tobacco Products (Section CA)",Electrical Equipment (Section CJ),EU,1276.235937
"Food Products, Beverages and Tobacco Products (Section CA)",Machinery and Equipment N.E.C. (Section CK),EU,3520.89486
"Food Products, Beverages and Tobacco Products (Section CA)",Transport Equipment (Section CL),EU,1447.541802
"Food Products, Beverages and Tobacco Products (Section CA)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",EU,3743.562009
"Food Products, Beverages and Tobacco Products (Section CA)","Utilities (Section D,E)",EU,17584.35633
"Food Products, Beverages and Tobacco Products (Section CA)",Construction (Section F),EU,3819.21132
"Food Products, Beverages and Tobacco Products (Section CA)","Wholesale, Retail and Repairs (Section G)",EU,69562.91373
"Food Products, Beverages and Tobacco Products (Section CA)",Transportation and Storage (Section H),EU,32039.77789
"Food Products, Beverages and Tobacco Products (Section CA)",Accommodation and Food Services (Section I),EU,1524.848227
"Food Products, Beverages and Tobacco Products (Section CA)",Information and Communication (Section J),EU,7830.599027
"Food Products, Beverages and Tobacco Products (Section CA)",Financial and Insurance (Section K),EU,10783.95048
"Food Products, Beverages and Tobacco Products (Section CA)",Real Estate Activities (Section L),EU,6069.049264
"Food Products, Beverages and Tobacco Products (Section CA)","Professional, Scientific & Technical (Section M)",EU,29588.72574
"Food Products, Beverages and Tobacco Products (Section CA)",Administrative and Support Services (Section N),EU,16940.95357
"Food Products, Beverages and Tobacco Products (Section CA)",Public administration and defence; compulsory social security (Section O),EU,2841.058945
"Food Products, Beverages and Tobacco Products (Section CA)",Education (Section P),EU,1043.85332
"Food Products, Beverages and Tobacco Products (Section CA)",Other Services (Section (Q-U),EU,4218.306995
"Textiles, Wearing Apparel and Leather (Section CB)","Agriculture, Forestry and Fishing (Section A)",EU,1732.705406
"Textiles, Wearing Apparel and Leather (Section CB)",Mining & Quarrying (Section B),EU,255.7812478
"Textiles, Wearing Apparel and Leather (Section CB)","Food Products, Beverages and Tobacco Products (Section CA)",EU,2208.405351
"Textiles, Wearing Apparel and Leather (Section CB)","Textiles, Wearing Apparel and Leather (Section CB)",EU,41390.1379
"Textiles, Wearing Apparel and Leather (Section CB)","Wood and Paper Products, and Printing (Section CC)",EU,1420.024637
"Textiles, Wearing Apparel and Leather (Section CB)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",EU,7118.235004
"Textiles, Wearing Apparel and Leather (Section CB)",Basic Pharmaceuticals and Their Products (Section CF),EU,291.3670683
"Textiles, Wearing Apparel and Leather (Section CB)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",EU,3172.45844
"Textiles, Wearing Apparel and Leather (Section CB)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",EU,1106.649633
"Textiles, Wearing Apparel and Leather (Section CB)","Computer, Electronic and Optical Products (Section CI)",EU,210.3132989
"Textiles, Wearing Apparel and Leather (Section CB)",Electrical Equipment (Section CJ),EU,248.6958652
"Textiles, Wearing Apparel and Leather (Section CB)",Machinery and Equipment N.E.C. (Section CK),EU,694.0429367
"Textiles, Wearing Apparel and Leather (Section CB)",Transport Equipment (Section CL),EU,421.9540767
"Textiles, Wearing Apparel and Leather (Section CB)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",EU,902.7436148
"Textiles, Wearing Apparel and Leather (Section CB)","Utilities (Section D,E)",EU,3555.087459
"Textiles, Wearing Apparel and Leather (Section CB)",Construction (Section F),EU,946.5900111
"Textiles, Wearing Apparel and Leather (Section CB)","Wholesale, Retail and Repairs (Section G)",EU,14767.25507
"Textiles, Wearing Apparel and Leather (Section CB)",Transportation and Storage (Section H),EU,6193.341045
"Textiles, Wearing Apparel and Leather (Section CB)",Accommodation and Food Services (Section I),EU,467.7051107
"Textiles, Wearing Apparel and Leather (Section CB)",Information and Communication (Section J),EU,1647.143128
"Textiles, Wearing Apparel and Leather (Section CB)",Financial and Insurance (Section K),EU,3110.488237
"Textiles, Wearing Apparel and Leather (Section CB)",Real Estate Activities (Section L),EU,2118.237224
"Textiles, Wearing Apparel and Leather (Section CB)","Professional, Scientific & Technical (Section M)",EU,4957.218263
"Textiles, Wearing Apparel and Leather (Section CB)",Administrative and Support Services (Section N),EU,2898.991021
"Textiles, Wearing Apparel and Leather (Section CB)",Public administration and defence; compulsory social security (Section O),EU,360.0336048
"Textiles, Wearing Apparel and Leather (Section CB)",Education (Section P),EU,149.2809496
"Textiles, Wearing Apparel and Leather (Section CB)",Other Services (Section (Q-U),EU,854.6471238
"Wood and Paper Products, and Printing (Section CC)","Agriculture, Forestry and Fishing (Section A)",EU,14008.51109
"Wood and Paper Products, and Printing (Section CC)",Mining & Quarrying (Section B),EU,950.1777773
"Wood and Paper Products, and Printing (Section CC)","Food Products, Beverages and Tobacco Products (Section CA)",EU,1353.118503
"Wood and Paper Products, and Printing (Section CC)","Textiles, Wearing Apparel and Leather (Section CB)",EU,1718.635396
"Wood and Paper Products, and Printing (Section CC)","Wood and Paper Products, and Printing (Section CC)",EU,65697.60344
"Wood and Paper Products, and Printing (Section CC)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",EU,13160.29442
"Wood and Paper Products, and Printing (Section CC)",Basic Pharmaceuticals and Their Products (Section CF),EU,438.8026642
"Wood and Paper Products, and Printing (Section CC)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",EU,5303.189375
"Wood and Paper Products, and Printing (Section CC)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",EU,3441.810558
"Wood and Paper Products, and Printing (Section CC)","Computer, Electronic and Optical Products (Section CI)",EU,871.5531958
"Wood and Paper Products, and Printing (Section CC)",Electrical Equipment (Section CJ),EU,710.4937747
"Wood and Paper Products, and Printing (Section CC)",Machinery and Equipment N.E.C. (Section CK),EU,2088.576648
"Wood and Paper Products, and Printing (Section CC)",Transport Equipment (Section CL),EU,801.7916139
"Wood and Paper Products, and Printing (Section CC)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",EU,3185.125083
"Wood and Paper Products, and Printing (Section CC)","Utilities (Section D,E)",EU,16173.64936
