input,sector,region,value
"Food Products, Beverages and Tobacco Products (Section CA)","Wood and Paper Products, and Printing (Section CC)",NEU,47806.42526
"Food Products, Beverages and Tobacco Products (Section CA)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",NEU,37404.33857
"Food Products, Beverages and Tobacco Products (Section CA)",Basic Pharmaceuticals and Their Products (Section CF),NEU,4044.206408
"Food Products, Beverages and Tobacco Products (Section CA)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",NEU,55995.23804
"Food Products, Beverages and Tobacco Products (Section CA)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",NEU,27823.77318
"Food Products, Beverages and Tobacco Products (Section CA)","Computer, Electronic and Optical Products (Section CI)",NEU,3508.884712
"Food Products, Beverages and Tobacco Products (Section CA)",Electrical Equipment (Section CJ),NEU,2161.895952
"Food Products, Beverages and Tobacco Products (Section CA)",Machinery and Equipment N.E.C. (Section CK),NEU,9354.993605
"Food Products, Beverages and Tobacco Products (Section CA)",Transport Equipment (Section CL),NEU,4873.872513
"Food Products, Beverages and Tobacco Products (Section CA)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",NEU,4088.814417
"Food Products, Beverages and Tobacco Products (Section CA)","Utilities (Section D,E)",NEU,43335.12192
"Food Products, Beverages and Tobacco Products (Section CA)",Construction (Section F),NEU,6946.170278
"Food Products, Beverages and Tobacco Products (Section CA)","Wholesale, Retail and Repairs (Section G)",NEU,292480.6551
"Food Products, Beverages and Tobacco Products (Section CA)",Transportation and Storage (Section H),NEU,122231.6039
"Food Products, Beverages and Tobacco Products (Section CA)",Accommodation and Food Services (Section I),NEU,15602.68072
"Food Products, Beverages and Tobacco Products (Section CA)",Information and Communication (Section J),NEU,13928.4678
"Food Products, Beverages and Tobacco Products (Section CA)",Financial and Insurance (Section K),NEU,35631.57685
"Food Products, Beverages and Tobacco Products (Section CA)",Real Estate Activities (Section L),NEU,2455.17327
"Food Products, Beverages and Tobacco Products (Section CA)","Professional, Scientific & Technical (Section M)",NEU,71566.27761
"Food Products, Beverages and Tobacco Products (Section CA)",Administrative and Support Services (Section N),NEU,16460.7736
"Food Products, Beverages and Tobacco Products (Section CA)",Public administration and defence; compulsory social security (Section O),NEU,8378.616646
"Food Products, Beverages and Tobacco Products (Section CA)",Education (Section P),NEU,1268.472301
"Food Products, Beverages and Tobacco Products (Section CA)",Other Services (Section (Q-U),NEU,9674.162316
"Textiles, Wearing Apparel and Leather (Section CB)","Agriculture, Forestry and Fishing (Section A)",NEU,133656.8071
"Textiles, Wearing Apparel and Leather (Section CB)",Mining & Quarrying (Section B),NEU,5027.451267
"Textiles, Wearing Apparel and Leather (Section CB)","Food Products, Beverages and Tobacco Products (Section CA)",NEU,27417.39458
"Textiles, Wearing Apparel and Leather (Section CB)","Textiles, Wearing Apparel and Leather (Section CB)",NEU,563047.1008
"Textiles, Wearing Apparel and Leather (Section CB)","Wood and Paper Products, and Printing (Section CC)",NEU,12162.63489
"Textiles, Wearing Apparel and Leather (Section CB)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",NEU,94459.85971
"Textiles, Wearing Apparel and Leather (Section CB)",Basic Pharmaceuticals and Their Products (Section CF),NEU,2863.464049
"Textiles, Wearing Apparel and Leather (Section CB)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",NEU,20832.57274
"Textiles, Wearing Apparel and Leather (Section CB)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",NEU,5949.97218
"Textiles, Wearing Apparel and Leather (Section CB)","Computer, Electronic and Optical Products (Section CI)",NEU,2320.335852
"Textiles, Wearing Apparel and Leather (Section CB)",Electrical Equipment (Section CJ),NEU,1541.213696
"Textiles, Wearing Apparel and Leather (Section CB)",Machinery and Equipment N.E.C. (Section CK),NEU,9767.445772
"Textiles, Wearing Apparel and Leather (Section CB)",Transport Equipment (Section CL),NEU,2847.187885
"Textiles, Wearing Apparel and Leather (Section CB)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",NEU,6457.987008
"Textiles, Wearing Apparel and Leather (Section CB)","Utilities (Section D,E)",NEU,32848.63271
"Textiles, Wearing Apparel and Leather (Section CB)",Construction (Section F),NEU,5444.218654
"Textiles, Wearing Apparel and Leather (Section CB)","Wholesale, Retail and Repairs (Section G)",NEU,135672.928
"Textiles, Wearing Apparel and Leather (Section CB)",Transportation and Storage (Section H),NEU,43606.90565
"Textiles, Wearing Apparel and Leather (Section CB)",Accommodation and Food Services (Section I),NEU,4002.196946
"Textiles, Wearing Apparel and Leather (Section CB)",Information and Communication (Section J),NEU,7564.22211
"Textiles, Wearing Apparel and Leather (Section CB)",Financial and Insurance (Section K),NEU,19310.62697
"Textiles, Wearing Apparel and Leather (Section CB)",Real Estate Activities (Section L),NEU,1759.337705
"Textiles, Wearing Apparel and Leather (Section CB)","Professional, Scientific & Technical (Section M)",NEU,18325.77848
"Textiles, Wearing Apparel and Leather (Section CB)",Administrative and Support Services (Section N),NEU,5145.511007
"Textiles, Wearing Apparel and Leather (Section CB)",Public administration and defence; compulsory social security (Section O),NEU,1320.370478
"Textiles, Wearing Apparel and Leather (Section CB)",Education (Section P),NEU,470.9461371
"Textiles, Wearing Apparel and Leather (Section CB)",Other Services (Section (Q-U),NEU,7851.460158
"Wood and Paper Products, and Printing (Section CC)","Agriculture, Forestry and Fishing (Section A)",NEU,94401.95143
"Wood and Paper Products, and Printing (Section CC)",Mining & Quarrying (Section B),NEU,10899.75096
"Wood and Paper Products, and Printing (Section CC)","Food Products, Beverages and Tobacco Products (Section CA)",NEU,6523.699662
"Wood and Paper Products, and Printing (Section CC)","Textiles, Wearing Apparel and Leather (Section CB)",NEU,10207.5956
"Wood and Paper Products, and Printing (Section CC)","Wood and Paper Products, and Printing (Section CC)",NEU,342537.0177
"Wood and Paper Products, and Printing (Section CC)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",NEU,75663.67317
"Wood and Paper Products, and Printing (Section CC)",Basic Pharmaceuticals and Their Products (Section CF),NEU,4162.833881
"Wood and Paper Products, and Printing (Section CC)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",NEU,23012.80346
"Wood and Paper Products, and Printing (Section CC)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",NEU,20269.89025
"Wood and Paper Products, and Printing (Section CC)","Computer, Electronic and Optical Products (Section CI)",NEU,5153.890401
"Wood and Paper Products, and Printing (Section CC)",Electrical Equipment (Section CJ),NEU,2649.180701
"Wood and Paper Products, and Printing (Section CC)",Machinery and Equipment N.E.C. (Section CK),NEU,11730.52895
"Wood and Paper Products, and Printing (Section CC)",Transport Equipment (Section CL),NEU,3426.402311
"Wood and Paper Products, and Printing (Section CC)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",NEU,8331.702912
"Wood and Paper Products, and Printing (Section CC)","Utilities (Section D,E)",NEU,38510.35635
"Wood and Paper Products, and Printing (Section CC)",Construction (Section F),NEU,4546.766234
"Wood and Paper Products, and Printing (Section CC)","Wholesale, Retail and Repairs (Section G)",NEU,70155.61609
"Wood and Paper Products, and Printing (Section CC)",Transportation and Storage (Section H),NEU,45738.18601
"Wood and Paper Products, and Printing (Section CC)",Accommodation and Food Services (Section I),NEU,6414.743169
"Wood and Paper Products, and Printing (Section CC)",Information and Communication (Section J),NEU,8756.745439
"Wood and Paper Products, and Printing (Section CC)",Financial and Insurance (Section K),NEU,19033.12758
"Wood and Paper Products, and Printing (Section CC)",Real Estate Activities (Section L),NEU,1865.94246
"Wood and Paper Products, and Printing (Section CC)","Professional, Scientific & Technical (Section M)",NEU,27004.55356
"Wood and Paper Products, and Printing (Section CC)",Administrative and Support Services (Section N),NEU,9272.893792
"Wood and Paper Products, and Printing (Section CC)",Public administration and defence; compulsory social security (Section O),NEU,4776.602124
"Wood and Paper Products, and Printing (Section CC)",Education (Section P),NEU,640.8200506
"Wood and Paper Products, and Printing (Section CC)",Other Services (Section (Q-U),NEU,6199.664048
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Agriculture, Forestry and Fishing (Section A)",NEU,30587.60877
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Mining & Quarrying (Section B),NEU,1289674.464
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Food Products, Beverages and Tobacco Products (Section CA)",NEU,58633.87589
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Textiles, Wearing Apparel and Leather (Section CB)",NEU,12998.63927
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Wood and Paper Products, and Printing (Section CC)",NEU,19056.58254
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",NEU,1032967.896
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Basic Pharmaceuticals and Their Products (Section CF),NEU,31349.9348
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",NEU,65143.77042
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",NEU,46492.60723
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Computer, Electronic and Optical Products (Section CI)",NEU,10781.49317
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Electrical Equipment (Section CJ),NEU,6389.194006
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Machinery and Equipment N.E.C. (Section CK),NEU,27276.84248
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Transport Equipment (Section CL),NEU,5811.2093
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",NEU,6286.402552
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Utilities (Section D,E)",NEU,169218.783
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Construction (Section F),NEU,15561.47526
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Wholesale, Retail and Repairs (Section G)",NEU,180368.9795
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Transportation and Storage (Section H),NEU,121267.1581
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Accommodation and Food Services (Section I),NEU,10341.03437
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Information and Communication (Section J),NEU,13035.58229
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Financial and Insurance (Section K),NEU,45543.53789
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Real Estate Activities (Section L),NEU,2712.575052
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Professional, Scientific & Technical (Section M)",NEU,90992.43191
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Administrative and Support Services (Section N),NEU,17596.38887
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Public administration and defence; compulsory social security (Section O),NEU,10186.76311
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Education (Section P),NEU,1406.806227
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Other Services (Section (Q-U),NEU,11721.17996
Basic Pharmaceuticals and Their Products (Section CF),"Agriculture, Forestry and Fishing (Section A)",NEU,49750.28147
Basic Pharmaceuticals and Their Products (Section CF),Mining & Quarrying (Section B),NEU,4692.337108
Basic Pharmaceuticals and Their Products (Section CF),"Food Products, Beverages and Tobacco Products (Section CA)",NEU,13147.52491
Basic Pharmaceuticals and Their Products (Section CF),"Textiles, Wearing Apparel and Leather (Section CB)",NEU,4942.881188
Basic Pharmaceuticals and Their Products (Section CF),"Wood and Paper Products, and Printing (Section CC)",NEU,7367.50649
Basic Pharmaceuticals and Their Products (Section CF),"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",NEU,61716.64711
Basic Pharmaceuticals and Their Products (Section CF),Basic Pharmaceuticals and Their Products (Section CF),NEU,82858.58789
Basic Pharmaceuticals and Their Products (Section CF),"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",NEU,9810.695939
Basic Pharmaceuticals and Their Products (Section CF),"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",NEU,3903.069607
Basic Pharmaceuticals and Their Products (Section CF),"Computer, Electronic and Optical Products (Section CI)",NEU,1638.557421
Basic Pharmaceuticals and Their Products (Section CF),Electrical Equipment (Section CJ),NEU,689.4996315
Basic Pharmaceuticals and Their Products (Section CF),Machinery and Equipment N.E.C. (Section CK),NEU,3682.164712
Basic Pharmaceuticals and Their Products (Section CF),Transport Equipment (Section CL),NEU,990.3891244
Basic Pharmaceuticals and Their Products (Section CF),"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",NEU,1466.606847
Basic Pharmaceuticals and Their Products (Section CF),"Utilities (Section D,E)",NEU,11184.36981
Basic Pharmaceuticals and Their Products (Section CF),Construction (Section F),NEU,1132.413864
Basic Pharmaceuticals and Their Products (Section CF),"Wholesale, Retail and Repairs (Section G)",NEU,34902.16144
Basic Pharmaceuticals and Their Products (Section CF),Transportation and Storage (Section H),NEU,17257.15366
Basic Pharmaceuticals and Their Products (Section CF),Accommodation and Food Services (Section I),NEU,5944.682709
Basic Pharmaceuticals and Their Products (Section CF),Information and Communication (Section J),NEU,5362.738672
Basic Pharmaceuticals and Their Products (Section CF),Financial and Insurance (Section K),NEU,8753.228842
Basic Pharmaceuticals and Their Products (Section CF),Real Estate Activities (Section L),NEU,846.9791377
Basic Pharmaceuticals and Their Products (Section CF),"Professional, Scientific & Technical (Section M)",NEU,35572.71121
Basic Pharmaceuticals and Their Products (Section CF),Administrative and Support Services (Section N),NEU,3578.748887
Basic Pharmaceuticals and Their Products (Section CF),Public administration and defence; compulsory social security (Section O),NEU,1991.342693
Basic Pharmaceuticals and Their Products (Section CF),Education (Section P),NEU,485.391954
Basic Pharmaceuticals and Their Products (Section CF),Other Services (Section (Q-U),NEU,3632.280811
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Agriculture, Forestry and Fishing (Section A)",NEU,23366.86274
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Mining & Quarrying (Section B),NEU,147973.9548
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Food Products, Beverages and Tobacco Products (Section CA)",NEU,10857.35517
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Textiles, Wearing Apparel and Leather (Section CB)",NEU,32080.52281
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Wood and Paper Products, and Printing (Section CC)",NEU,30892.84643
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",NEU,316634.1183
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Basic Pharmaceuticals and Their Products (Section CF),NEU,12421.05813
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",NEU,298328.9452
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",NEU,63080.54788
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Computer, Electronic and Optical Products (Section CI)",NEU,5985.258918
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Electrical Equipment (Section CJ),NEU,5422.621221
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Machinery and Equipment N.E.C. (Section CK),NEU,30628.27774
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Transport Equipment (Section CL),NEU,9948.714907
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",NEU,6285.174902
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Utilities (Section D,E)",NEU,91400.57107
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Construction (Section F),NEU,9018.366203
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Wholesale, Retail and Repairs (Section G)",NEU,104459.7225
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Transportation and Storage (Section H),NEU,72815.31861
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Accommodation and Food Services (Section I),NEU,10436.49209
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Information and Communication (Section J),NEU,8849.080257
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Financial and Insurance (Section K),NEU,31527.44572
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Real Estate Activities (Section L),NEU,2227.098767
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Professional, Scientific & Technical (Section M)",NEU,37097.97029
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Administrative and Support Services (Section N),NEU,9967.515748
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Public administration and defence; compulsory social security (Section O),NEU,3966.330772
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Education (Section P),NEU,967.0316641
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Other Services (Section (Q-U),NEU,11003.68868
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Agriculture, Forestry and Fishing (Section A)",NEU,1042.631165
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Mining & Quarrying (Section B),NEU,525613.3333
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Food Products, Beverages and Tobacco Products (Section CA)",NEU,12979.02632
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Textiles, Wearing Apparel and Leather (Section CB)",NEU,12473.22396
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Wood and Paper Products, and Printing (Section CC)",NEU,22517.76507
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",NEU,164848.6278
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Basic Pharmaceuticals and Their Products (Section CF),NEU,4347.339449
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",NEU,56814.9931
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",NEU,1173095.613
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Computer, Electronic and Optical Products (Section CI)",NEU,16167.07665
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Electrical Equipment (Section CJ),NEU,22532.43538
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Machinery and Equipment N.E.C. (Section CK),NEU,80855.11466
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Transport Equipment (Section CL),NEU,18963.09573
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",NEU,36866.35882
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Utilities (Section D,E)",NEU,192391.7243
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Construction (Section F),NEU,11593.5779
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Wholesale, Retail and Repairs (Section G)",NEU,153471.7598
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Transportation and Storage (Section H),NEU,113964.7615
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Accommodation and Food Services (Section I),NEU,13142.68394
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Information and Communication (Section J),NEU,15511.38499
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Financial and Insurance (Section K),NEU,71480.35117
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Real Estate Activities (Section L),NEU,3083.474953
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Professional, Scientific & Technical (Section M)",NEU,55305.37551
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Administrative and Support Services (Section N),NEU,18065.8334
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Public administration and defence; compulsory social security (Section O),NEU,9473.718709
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Education (Section P),NEU,1482.059145
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Other Services (Section (Q-U),NEU,17106.68365
"Computer, Electronic and Optical Products (Section CI)","Agriculture, Forestry and Fishing (Section A)",NEU,111.5981471
"Computer, Electronic and Optical Products (Section CI)",Mining & Quarrying (Section B),NEU,3299.191922
"Computer, Electronic and Optical Products (Section CI)","Food Products, Beverages and Tobacco Products (Section CA)",NEU,6713.592288
"Computer, Electronic and Optical Products (Section CI)","Textiles, Wearing Apparel and Leather (Section CB)",NEU,4911.825759
"Computer, Electronic and Optical Products (Section CI)","Wood and Paper Products, and Printing (Section CC)",NEU,15164.96664
"Computer, Electronic and Optical Products (Section CI)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",NEU,56707.13015
"Computer, Electronic and Optical Products (Section CI)",Basic Pharmaceuticals and Their Products (Section CF),NEU,2431.169432
"Computer, Electronic and Optical Products (Section CI)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",NEU,69819.94598
"Computer, Electronic and Optical Products (Section CI)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",NEU,90358.08701
"Computer, Electronic and Optical Products (Section CI)","Computer, Electronic and Optical Products (Section CI)",NEU,877658.9713
"Computer, Electronic and Optical Products (Section CI)",Electrical Equipment (Section CJ),NEU,98415.04677
"Computer, Electronic and Optical Products (Section CI)",Machinery and Equipment N.E.C. (Section CK),NEU,30153.52678
"Computer, Electronic and Optical Products (Section CI)",Transport Equipment (Section CL),NEU,10444.11822
"Computer, Electronic and Optical Products (Section CI)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",NEU,9512.509885
"Computer, Electronic and Optical Products (Section CI)","Utilities (Section D,E)",NEU,27594.96525
"Computer, Electronic and Optical Products (Section CI)",Construction (Section F),NEU,6937.499719
"Computer, Electronic and Optical Products (Section CI)","Wholesale, Retail and Repairs (Section G)",NEU,129730.3459
"Computer, Electronic and Optical Products (Section CI)",Transportation and Storage (Section H),NEU,36365.69631
"Computer, Electronic and Optical Products (Section CI)",Accommodation and Food Services (Section I),NEU,9040.67785
"Computer, Electronic and Optical Products (Section CI)",Information and Communication (Section J),NEU,21035.7638
"Computer, Electronic and Optical Products (Section CI)",Financial and Insurance (Section K),NEU,37150.88346
"Computer, Electronic and Optical Products (Section CI)",Real Estate Activities (Section L),NEU,3254.889812
"Computer, Electronic and Optical Products (Section CI)","Professional, Scientific & Technical (Section M)",NEU,61163.66427
"Computer, Electronic and Optical Products (Section CI)",Administrative and Support Services (Section N),NEU,9059.092624
"Computer, Electronic and Optical Products (Section CI)",Public administration and defence; compulsory social security (Section O),NEU,3632.059272
"Computer, Electronic and Optical Products (Section CI)",Education (Section P),NEU,1153.82681
"Computer, Electronic and Optical Products (Section CI)",Other Services (Section (Q-U),NEU,9138.73601
Electrical Equipment (Section CJ),"Agriculture, Forestry and Fishing (Section A)",NEU,102.2344443
Electrical Equipment (Section CJ),Mining & Quarrying (Section B),NEU,9084.236026
Electrical Equipment (Section CJ),"Food Products, Beverages and Tobacco Products (Section CA)",NEU,5078.302069
Electrical Equipment (Section CJ),"Textiles, Wearing Apparel and Leather (Section CB)",NEU,5891.032849
Electrical Equipment (Section CJ),"Wood and Paper Products, and Printing (Section CC)",NEU,14583.95594
Electrical Equipment (Section CJ),"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",NEU,52824.32856
Electrical Equipment (Section CJ),Basic Pharmaceuticals and Their Products (Section CF),NEU,1247.174231
Electrical Equipment (Section CJ),"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",NEU,70403.72475
Electrical Equipment (Section CJ),"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",NEU,273648.121
Electrical Equipment (Section CJ),"Computer, Electronic and Optical Products (Section CI)",NEU,83834.16698
Electrical Equipment (Section CJ),Electrical Equipment (Section CJ),NEU,188871.216
Electrical Equipment (Section CJ),Machinery and Equipment N.E.C. (Section CK),NEU,49901.50001
Electrical Equipment (Section CJ),Transport Equipment (Section CL),NEU,8494.047968
Electrical Equipment (Section CJ),"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",NEU,4122.143712
Electrical Equipment (Section CJ),"Utilities (Section D,E)",NEU,22661.33928
Electrical Equipment (Section CJ),Construction (Section F),NEU,3688.83827
Electrical Equipment (Section CJ),"Wholesale, Retail and Repairs (Section G)",NEU,72440.56484
Electrical Equipment (Section CJ),Transportation and Storage (Section H),NEU,33587.31166
Electrical Equipment (Section CJ),Accommodation and Food Services (Section I),NEU,7374.839118
Electrical Equipment (Section CJ),Information and Communication (Section J),NEU,6264.679588
Electrical Equipment (Section CJ),Financial and Insurance (Section K),NEU,18681.24862
Electrical Equipment (Section CJ),Real Estate Activities (Section L),NEU,1315.193784
Electrical Equipment (Section CJ),"Professional, Scientific & Technical (Section M)",NEU,30431.86681
Electrical Equipment (Section CJ),Administrative and Support Services (Section N),NEU,3558.216921
Electrical Equipment (Section CJ),Public administration and defence; compulsory social security (Section O),NEU,1426.429097
Electrical Equipment (Section CJ),Education (Section P),NEU,620.7087706
Electrical Equipment (Section CJ),Other Services (Section (Q-U),NEU,8184.402422
Machinery and Equipment N.E.C. (Section CK),"Agriculture, Forestry and Fishing (Section A)",NEU,331.0175046
Machinery and Equipment N.E.C. (Section CK),Mining & Quarrying (Section B),NEU,10734.76326
Machinery and Equipment N.E.C. (Section CK),"Food Products, Beverages and Tobacco Products (Section CA)",NEU,6058.031719
Machinery and Equipment N.E.C. (Section CK),"Textiles, Wearing Apparel and Leather (Section CB)",NEU,7455.951732
Machinery and Equipment N.E.C. (Section CK),"Wood and Paper Products, and Printing (Section CC)",NEU,15697.38
Machinery and Equipment N.E.C. (Section CK),"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",NEU,32249.48965
Machinery and Equipment N.E.C. (Section CK),Basic Pharmaceuticals and Their Products (Section CF),NEU,2163.729201
Machinery and Equipment N.E.C. (Section CK),"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",NEU,44662.61414
Machinery and Equipment N.E.C. (Section CK),"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",NEU,291524.8319
Machinery and Equipment N.E.C. (Section CK),"Computer, Electronic and Optical Products (Section CI)",NEU,75796.77432
Machinery and Equipment N.E.C. (Section CK),Electrical Equipment (Section CJ),NEU,78731.72573
Machinery and Equipment N.E.C. (Section CK),Machinery and Equipment N.E.C. (Section CK),NEU,281574.6789
Machinery and Equipment N.E.C. (Section CK),Transport Equipment (Section CL),NEU,52795.144
Machinery and Equipment N.E.C. (Section CK),"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",NEU,8097.316839
Machinery and Equipment N.E.C. (Section CK),"Utilities (Section D,E)",NEU,33031.83783
